;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2014M01-I;2014M02-I;2014M03-I;2014M04-I;2014M05-I;2014M06-I;2014M07-I;2014M08-I;2014M09-I;2014M10-I;2014M11-I;2014M12-I;2015M01-I;2015M02-I;2015M03-I;2015M04-I;2015M05-I;2015M06-I;2015M07-I;2015M08-I;2015M09-I;2015M10-I;2015M11-I;2015M12-I;2016M01-I;2016M02-I;2016M03-I;2016M04-I;2016M05-I;2016M06-I;2016M07-I;2016M08-I;2016M09-I;2016M10-I;2016M11-I;2016M12-I;2017M01-I;2017M02-I;2017M03-I;2017M04-I;2017M05-I;2017M06-I;2017M07-I;2017M08-I;2017M09-I;2017M10-I;2017M11-I;2017M12-I;2018M01-I;2018M02-I;2018M03-I;2018M04-I;2018M05-I;2018M06-I;2018M07-I;2018M08-I;2018M09-I;2018M10-I;2018M11-I;2018M12-I;2019M01-I;2019M02-I;2019M03-I;2019M04-I;2019M05-I;2019M06-I;2019M07-I;2019M08-I;2019M09-I;2019M10-I;2019M11-I;2019M12-I;2020M01-I;2020M02-I;2020M03-I;2020M04-I
Indonesia;16337,65;13474,37;16981,58;16627,68;16722,73;16010,66;14664,18;15820,92;15953,84;15565,95;15373,65;15084,95;13417,61;12275,19;12818,56;13021,15;12392,92;12814,95;12009,83;12158,94;12025,02;12239,92;11705,63;12501,19;11199,65;9943,47;11907,87;11864,43;12173,03;10659,85;11774,62;12290,12;11863,21;11517,71;12635,84;12849,25;11908,68;9228,42;11497,19;10140,15;13496,25;11400,97;13049,94;13081,46;13618,63;13230,12;15295,64;14518,53;14448,71;13247,51;15644,96;15523,49;15272,16;14089,28;16115,49;15857,11;15283,36;15701,20;15973,00;14812,30;14782,27;11651,15;15468,12;14739,55;12570,79;13407,53;15000,02;14106,51;14694,10;15047,35;15733,75;15621,95;12746,45;12200,32;14755,12;11468,50;14467,33;14186,00;16929,32;16555,17;15886,63;16741,30;16995,88;16932,57;17239,49;18612,32;19688,43;20986,19;18639,38;16192,12;17802,59;17186,36;16639,79;15955,66;17492,28;16400,57;16178,42;17093,26;15858,17;16334,70;15496,29;13187,17;15568,69;15181,73;14717,20;15172,16;15218,96;13543,43;14373,73;14664,81;12944,95;14128,68;12849,75;13088,79;14261,13;13106,36;13510,12;14170,58;13019,92;13954,32;14369,89;14333,16;14633,81;15361,37;15473,12;14070,88;15800,56;13843,48;16412,00;15636,23;14959,19;16207,43;16807,85;17533,87;17758,18;16806,64;18044,30;16225,84;18171,91;17289,96;17192,19;16694,55;17467,27;18396,94;17661,81;18966,51;17459,76;16134,84;17505,55;15511,20;16988,16;16378,13;17286,50;15248,45;17287,45;17590,58;16984,97;18091,72;16804,43;17568,07;17051,61;15998,65;16714,13;14519,74
Kiribati;10,68;8,13;12,83;11,13;13,68;20,00;11,32;14,72;13,90;13,03;41,39;10,04;15,01;24,31;12,21;10,08;10,12;12,72;20,47;9,88;25,30;15,32;14,28;12,31;9,93;7,97;9,77;12,67;11,11;12,77;16,21;11,95;7,90;18,06;9,03;9,28;8,81;7,71;9,25;10,68;12,34;10,33;12,91;11,56;10,46;10,92;11,90;10,76;6,78;8,30;10,06;6,65;9,01;10,82;9,78;8,20;9,07;9,79;9,84;7,68;10,17;5,57;7,59;6,96;7,88;7,02;9,14;11,11;8,06;8,75;7,98;7,22;45,04;4,85;9,44;7,46;8,43;8,70;11,04;10,38;13,83;15,61;11,01;11,34;11,00;11,83;16,47;10,26;14,77;6,21;6,91;5,34;1,75;2,97;4,87;6,44;8,35;9,07;4,97;11,03;20,36;5,55;10,35;5,08;16,19;9,89;6,85;9,63;5,67;10,65;13,84;20,46;7,18;7,33;8,81;4,14;13,07;12,92;14,62;16,79;17,42;13,30;19,66;8,61;7,08;8,65;18,32;20,17;7,73;9,15;14,84;16,23;28,32;10,82;16,29;21,46;23,61;13,11;14,16;8,97;9,34;9,17;7,57;15,18;14,80;3,01;20,68;14,00;15,01;14,20;12,89;9,61;10,25;7,86;12,71;15,06;8,62;9,17;4,02;12,19;9,25;3,79;3,69;3,26
Lao People's Dem. Rep.;771,47;577,77;617,44;598,00;683,89;649,47;543,04;475,78;494,04;555,27;565,31;709,85;602,73;510,24;589,79;548,50;616,14;541,82;526,77;481,54;538,87;528,06;578,21;757,16;528,96;410,27;560,49;485,64;528,66;502,88;452,44;461,19;478,79;487,82;529,49;614,59;470,28;480,10;604,26;485,79;553,63;509,36;492,96;510,78;526,06;569,41;649,62;668,89;612,67;514,88;619,64;542,66;614,93;565,18;477,65;553,01;477,31;549,20;596,09;793,52;575,96;429,32;615,12;554,96;632,01;557,87;543,93;540,77;545,00;584,46;616,52;661,40;508,78;452,97;542,25;347,23;639,98;535,82;755,52;575,85;558,73;558,77;488,36;530,15;506,93;537,14;593,31;621,25;426,32;328,30;452,18;425,04;342,73;396,69;383,80;360,45;419,31;331,06;367,04;410,67;336,20;301,53;322,85;351,48;341,37;371,75;330,02;320,55;344,16;280,89;334,77;407,17;341,54;369,03;352,06;328,03;373,32;379,97;392,07;332,07;386,44;321,02;388,35;471,87;297,10;363,00;475,36;411,40;455,77;397,39;402,77;438,88;395,05;413,77;414,22;628,42;513,34;467,89;554,20;499,58;459,88;496,88;471,25;428,27;491,05;511,00;540,84;604,46;506,14;427,39;485,21;508,85;581,37;502,05;536,48;514,48;537,06;540,70;523,87;546,04;556,39;496,96;485,34;456,37
Malaysia;18650,80;15251,81;18413,30;19743,26;19783,04;19912,83;19873,50;18862,65;18452,35;18396,58;18014,50;18810,68;17522,38;15034,49;16366,71;15266,29;16430,63;17063,54;16819,84;15241,78;14957,09;14944,42;14352,38;15188,79;13329,85;12526,07;14438,85;14852,34;14605,61;14418,84;13766,52;14492,96;14853,20;14425,40;15137,76;16450,20;15393,39;14350,18;17467,05;16781,88;17250,59;15445,78;16053,07;16945,18;17173,81;17323,85;18439,95;19261,45;17468,20;16182,49;18409,40;18521,86;18209,00;17258,24;18225,62;18812,83;16864,24;19840,67;19311,43;18691,32;18159,85;15181,04;18566,48;18444,24;18771,91;17330,87;18938,29;17874,11;17739,71;19030,26;19464,08;20847,49;17481,13;16060,60;16082,95;13175,73;19570,68;17113,01;22253,45;22070,45;21736,67;21738,48;20768,74;20874,13;22310,56;24069,03;26513,79;27886,57;25557,59;22601,43;25104,21;25090,93;25667,54;25236,00;26176,80;24830,84;27217,54;26148,36;24399,38;26600,99;24110,27;19672,79;24841,34;22678,53;21900,35;23815,94;23449,40;22560,17;22447,64;22959,38;22062,23;23378,29;19471,17;18527,64;22334,63;21055,22;21248,12;22305,02;20622,05;22941,76;22983,87;22177,37;22860,17;24173,34;21762,71;21395,76;25360,50;22289,57;24613,68;23769,30;23680,08;25919,17;24514,03;25632,47;27555,48;26874,91;27260,06;24249,33;27880,01;28263,48;28841,50;27274,35;28300,86;27741,97;27271,24;29773,13;27724,02;26381,39;27309,67;22541,69;27940,44;27251,89;28971,22;26230,56;28494,52;27204,56;27940,64;29832,18;27383,90;30248,95;26946,47;24790,51;26390,06;20663,28
Maldives;132,99;112,98;158,42;139,43;159,35;148,46;159,25;145,15;135,37;150,43;139,99;160,83;119,85;112,70;128,84;130,94;127,68;125,02;131,29;117,22;125,14;139,02;133,12;157,65;122,41;166,85;168,31;156,33;165,48;153,82;123,87;160,64;141,00;145,20;173,35;170,90;140,79;157,29;185,42;164,66;183,46;156,74;154,19;164,52;157,98;187,35;171,20;204,48;211,20;209,92;194,24;208,08;191,72;188,25;212,10;208,61;188,01;190,70;204,05;194,87;193,74;155,84;199,17;204,17;199,95;169,26;201,40;174,33;191,22;234,77;194,90;221,99;194,57;149,88;140,12;93,48;143,76;160,34;220,07;267,99;240,54;152,70;212,68;166,83;232,05;197,64;195,16;240,55;16,12;26,14;24,01;14,85;15,98;14,70;15,85;14,01;18,63;17,94;16,42;16,46;23,62;16,53;24,35;28,09;20,82;21,11;21,30;15,04;17,03;16,21;16,66;19,33;18,48;18,40;20,99;22,44;30,87;22,00;11,83;25,31;17,49;27,43;28,75;30,59;31,69;36,25;41,49;38,69;26,57;28,96;40,77;27,32;23,26;39,04;36,57;41,72;56,13;40,22;53,03;40,00;40,33;30,74;43,78;38,11;56,51;57,22;62,64;22,53;29,48;28,33;20,02;20,43;29,50;43,02;33,34;15,71;15,42;16,16;15,01;18,26;23,93;17,72;14,27;12,20
Marshall Islands, Rep. of the;65,61;127,02;155,09;93,67;242,56;201,59;144,15;195,01;114,74;300,72;105,22;61,21;79,32;48,64;100,22;110,12;125,94;281,04;110,38;168,91;282,03;107,14;110,82;112,61;41,91;161,91;63,67;92,14;156,83;612,04;373,99;207,39;40,39;480,49;1117,76;1051,43;1752,69;1104,24;302,58;356,68;1312,92;1828,98;1497,82;1306,30;1470,46;766,61;741,54;1376,09;1910,82;1217,98;1170,20;776,75;690,99;1394,97;725,47;809,57;1276,56;711,49;658,02;1556,86;1083,53;521,38;994,65;935,82;1106,25;857,21;996,69;1037,14;958,29;1180,44;1085,66;884,79;815,71;573,10;873,54;473,19;1227,36;1089,11;1219,09;1170,51;1483,65;1343,07;1565,34;964,81;795,28;913,73;966,06;1008,46;46,40;10,71;30,92;6,30;21,84;144,64;36,32;10,83;42,34;27,42;28,07;7,65;40,82;4,93;59,79;86,65;23,98;6,11;40,26;8,42;74,71;28,05;41,66;75,91;6,87;26,02;28,21;17,58;5,44;4,13;29,98;43,43;18,25;20,48;16,17;6,55;25,72;43,69;23,98;14,20;24,51;56,27;36,89;29,21;95,78;40,57;20,05;223,07;29,34;7,11;55,04;10,06;80,38;36,89;101,49;93,72;92,15;13,30;74,01;75,29;33,10;14,40;137,35;38,34;130,89;72,04;67,98;157,96;69,05;20,03;68,01;146,83;31,85;32,26;64,15;85,87
Micronesia, Federated States of;35,42;33,34;38,42;37,27;30,81;32,75;31,48;31,18;26,87;30,12;30,05;32,49;31,55;28,20;30,94;22,77;20,63;23,64;22,72;23,09;23,17;20,55;17,72;19,21;38,03;37,20;36,93;36,64;34,92;35,94;32,12;36,49;34,76;39,99;54,62;67,53;80,24;46,66;46,29;45,50;45,97;31,09;61,09;44,38;39,53;73,64;60,87;53,22;54,93;40,40;54,24;43,06;63,47;61,51;66,56;46,31;53,55;56,76;54,17;50,61;19,20;19,22;18,72;21,70;13,92;18,23;23,12;21,52;21,54;22,24;22,83;18,40;14,82;19,36;18,13;27,23;18,80;18,91;22,50;22,86;23,21;24,19;27,08;24,12;25,35;23,85;26,59;22,84;6,98;2,34;0,42;2,96;0,97;1,77;0,10;1,05;1,73;0,07;0,16;0,10;0,14;2,47;2,71;1,56;0,75;0,16;2,56;1,07;1,94;0,78;0,06;1,79;2,45;1,52;4,54;2,33;1,63;1,57;8,37;8,18;4,70;6,44;4,59;1,62;2,64;12,47;8,09;7,06;7,28;11,50;10,98;10,30;19,10;7,30;3,49;15,23;9,98;8,96;17,96;16,64;11,17;9,44;10,20;18,81;19,37;9,49;12,03;13,05;19,77;17,29;16,24;25,01;22,09;26,33;21,00;22,03;13,48;12,92;19,21;13,33;12,61;15,66;16,34;8,21
Mongolia;283,12;267,93;425,57;562,55;558,53;515,33;442,32;501,47;536,51;471,64;365,28;408,53;273,76;210,35;274,46;430,14;387,52;392,92;328,76;364,91;327,04;361,42;280,61;281,51;154,72;182,65;238,96;272,91;290,44;283,99;235,22;321,02;306,34;254,11;325,21;250,75;223,55;209,90;319,02;357,22;351,40;376,96;342,15;376,00;395,92;399,06;395,04;423,93;261,85;289,76;421,78;458,51;524,87;475,96;392,88;476,77;450,14;420,90;530,23;498,67;404,82;325,33;458,50;455,63;473,89;521,06;532,10;491,12;512,17;550,36;478,54;482,95;257,91;352,73;368,88;417,84;365,37;468,80;588,55;526,44;537,84;574,07;507,24;588,28;616,66;461,50;518,09;541,87;242,73;163,44;305,62;428,80;446,24;480,05;530,72;607,65;858,44;480,76;568,54;614,60;432,09;293,79;325,36;368,12;355,54;502,20;454,70;358,21;319,97;311,04;334,60;435,09;284,43;284,16;322,95;371,32;387,56;400,72;315,48;356,86;309,56;332,36;655,22;531,75;399,62;343,65;434,32;595,04;552,36;551,11;450,97;495,66;524,09;523,65;519,72;565,40;430,97;389,06;508,67;637,76;755,04;719,71;606,17;567,58;770,73;763,61;582,73;594,96;508,63;388,12;653,05;694,71;704,48;670,10;603,58;697,54;616,58;568,90;603,07;493,95;360,49;395,08;206,51;310,88
Myanmar;2161,15;1371,35;2022,97;1831,18;1823,28;1844,53;1674,56;1739,04;1995,51;1850,20;1921,47;2060,49;2533,62;1761,97;1681,17;1652,44;1753,26;1719,94;1768,46;1428,10;1697,35;1863,89;1967,59;2483,17;2025,44;1705,77;1975,75;1727,04;1725,73;1826,02;1695,83;1701,77;1678,37;1692,27;1982,74;2315,28;1976,65;1723,62;2305,86;1675,14;2073,21;1930,39;1774,06;2036,74;2040,01;2154,27;2292,94;2501,18;2254,82;2084,49;2354,74;2294,16;2660,54;2300,80;2290,16;2358,56;2247,45;2478,05;2622,07;2475,20;2608,22;1738,12;2407,53;2466,37;2780,94;2215,12;2492,89;2027,00;2496,67;2426,96;2714,03;2895,19;2417,48;2298,12;2540,29;1772,88;3092,64;1889,85;1745,37;1669,50;1943,89;2177,82;2144,83;1964,48;2112,90;2222,63;2570,58;3115,36;1000,97;878,76;1619,13;1509,32;1377,83;1632,32;1664,92;1519,65;5964,41;4106,72;1688,72;1223,20;857,10;953,54;950,07;1113,94;750,59;1269,11;1475,24;1015,55;979,42;996,22;1331,83;1476,52;871,02;809,60;987,47;907,77;862,53;983,13;1016,95;1017,96;931,82;1072,78;987,87;1146,26;787,39;946,76;1072,89;1099,34;1020,44;998,67;1200,00;1204,42;1168,72;1131,36;1184,31;1325,42;1345,91;1135,16;1261,19;1228,46;1176,92;1133,43;1217,98;1380,68;1318,47;1471,53;1283,29;1321,47;1444,82;1252,05;1554,55;1531,95;1429,78;1418,24;1725,65;1767,87;1732,94;1855,04;1587,36;1639,85;1506,71;1493,50;1799,26;1446,13
Nauru, Rep. of;12,38;11,43;9,56;9,20;13,48;7,95;13,22;13,23;7,02;12,84;18,42;9,97;6,12;5,03;4,29;5,36;6,65;4,81;8,35;6,80;9,85;6,48;10,72;9,40;6,74;6,51;3,59;6,18;2,50;6,86;1,68;1,29;1,24;4,76;3,73;2,76;3,44;3,38;7,88;4,77;1,80;3,61;4,03;4,08;1,79;5,26;2,43;5,56;3,64;5,77;2,84;5,29;39,20;4,81;5,58;5,58;3,89;5,19;6,78;5,11;4,01;1,89;4,83;5,87;2,45;4,82;7,60;4,54;3,07;4,44;3,88;2,76;4,38;3,64;2,98;3,74;4,83;4,22;7,04;6,62;7,74;6,07;5,16;8,87;12,80;11,45;7,21;10,39;2,39;9,65;2,22;4,33;4,60;9,60;6,12;7,61;2,44;3,09;2,45;2,74;6,91;1,83;1,84;1,70;5,64;1,62;1,71;6,56;7,72;1,46;1,54;7,32;0,13;5,93;3,72;0,87;5,77;0,38;0,12;0,42;0,21;0,17;1,57;0,32;3,17;1,46;6,18;2,22;3,83;4,72;1,74;3,88;1,49;2,70;1,50;6,68;2,05;2,54;2,03;1,29;1,96;4,44;4,92;3,57;1,88;5,18;2,62;4,09;5,66;5,55;4,46;6,98;9,91;4,58;4,02;2,81;4,41;2,90;5,30;7,56;5,44;10,65;7,42;5,14
Nepal;592,11;466,12;531,41;778,31;735,84;658,95;675,21;683,22;777,52;624,81;784,30;770,21;571,09;649,30;618,67;649,46;373,89;544,32;532,63;360,15;349,10;161,60;270,48;441,61;495,20;460,29;590,64;566,65;650,26;578,49;501,20;576,71;451,52;518,55;599,83;595,15;693,70;610,48;762,03;629,58;635,25;624,31;606,23;613,69;687,49;698,42;824,18;662,00;827,75;751,08;851,11;705,61;884,05;936,15;941,13;796,08;862,31;892,05;825,87;902,62;831,15;715,04;838,86;857,06;865,58;841,13;856,68;892,18;894,18;735,03;935,34;953,20;844,08;843,98;708,80;208,66;1064,45;957,08;1122,60;1076,20;925,56;900,49;1023,60;1087,53;1245,05;1186,50;1220,50;1422,06;80,66;77,71;51,89;82,29;76,84;72,58;88,02;80,31;99,72;91,53;88,15;85,98;76,40;81,53;92,42;71,67;73,68;73,46;78,73;64,97;55,38;56,45;45,30;60,38;59,15;58,69;64,33;53,71;62,48;73,83;64,70;69,48;65,09;59,77;53,33;59,65;60,90;108,76;125,37;90,98;121,71;91,39;107,10;108,97;111,97;137,27;150,28;160,63;134,67;84,51;109,73;99,88;102,98;92,30;108,28;95,78;106,45;105,61;110,84;132,94;116,51;114,60;133,57;130,34;139,56;130,42;139,29;139,72;127,67;132,50;139,01;153,38;116,64;118,59;139,48;61,08
New Caledonia;197,66;260,21;214,56;223,65;277,17;215,92;268,28;248,58;215,34;257,07;204,11;224,07;190,42;181,19;194,06;175,74;192,56;194,86;210,72;178,86;201,77;206,05;165,19;204,97;139,18;166,63;198,75;178,93;167,39;155,52;157,80;158,96;165,71;161,08;196,33;212,28;136,64;163,61;177,10;184,57;168,70;185,89;175,24;181,51;173,58;210,62;164,23;240,78;173,93;230,25;200,99;192,77;195,38;214,64;183,59;233,67;218,02;210,80;183,18;205,94;186,37;191,65;203,21;184,03;188,76;186,20;207,71;288,23;208,25;322,98;181,61;179,25;171,00;159,01;155,62;120,02;151,45;166,48;165,20;188,78;169,41;194,70;176,47;197,46;214,35;210,87;181,17;214,96;117,94;96,40;129,23;120,48;159,40;150,92;144,93;143,21;143,66;166,19;138,50;118,07;163,75;90,48;139,72;137,93;117,74;138,13;121,69;120,34;115,98;118,48;106,91;101,68;128,59;71,63;96,64;106,48;94,43;98,87;106,46;107,23;135,55;114,92;167,61;135,12;135,89;113,67;112,26;136,71;110,56;140,83;118,01;95,59;167,83;94,57;183,21;140,88;173,74;149,94;145,76;179,00;149,12;226,87;144,41;201,66;179,01;154,02;183,53;165,25;181,12;119,84;96,62;182,39;131,02;117,34;123,70;115,34;153,79;187,53;176,56;209,24;171,88;126,83;135,14;165,51
Palau, Rep. of;2,12;3,39;3,40;16,44;2,99;3,55;2,39;10,84;2,92;8,47;4,10;8,89;4,57;5,19;5,79;9,83;5,65;6,72;7,55;7,89;5,31;8,33;7,65;13,26;45,86;9,39;6,44;9,73;4,94;5,55;4,70;7,86;31,36;4,40;9,30;9,57;4,35;1,56;3,77;6,20;5,35;6,89;9,36;10,96;8,09;11,04;7,96;23,57;5,97;11,30;6,51;11,22;10,23;12,41;7,81;5,48;7,10;14,62;8,35;8,20;6,75;10,28;7,27;7,57;6,80;7,54;17,64;6,43;9,26;8,01;20,47;11,13;8,87;6,32;7,70;9,57;6,96;5,89;18,11;10,23;15,34;9,01;18,05;12,24;10,50;8,18;10,46;7,52;1,29;1,10;1,10;1,27;1,45;0,96;1,13;2,45;1,30;1,38;0,80;0,78;0,81;0,30;0,58;0,92;0,64;0,40;0,28;1,03;4,74;0,55;0,86;2,06;6,35;0,67;0,58;0,47;0,13;0,05;1,98;0,06;0,07;0,12;0,22;0,54;0,84;0,09;0,05;0,79;0,78;2,01;2,76;3,99;4,12;2,52;2,05;3,03;11,97;1,94;2,70;2,06;5,92;1,36;1,33;3,09;2,30;1,92;1,42;3,02;2,33;1,58;2,70;1,98;1,01;1,37;1,47;1,86;1,31;2,37;1,42;4,88;0,92;0,77;0,99;0,71
Papua New Guinea;440,71;361,80;434,57;526,52;541,88;422,26;530,03;414,97;447,05;584,93;417,97;462,89;451,90;606,06;385,90;417,27;415,48;460,14;385,68;436,90;440,59;400,45;351,10;340,31;303,24;330,19;401,73;339,13;322,77;345,73;335,66;555,48;482,64;327,07;419,35;322,36;340,12;285,82;406,79;348,70;356,48;431,67;395,79;363,32;417,67;437,01;425,71;369,35;343,77;308,60;421,36;414,93;412,06;402,13;410,08;474,35;359,54;432,19;441,48;368,10;309,05;321,09;427,32;478,82;385,36;407,32;410,49;437,92;399,21;364,56;414,37;406,52;385,41;402,65;393,39;272,32;318,60;337,09;443,14;345,77;412,14;366,26;426,09;410,97;397,69;444,36;382,53;457,71;573,37;572,57;526,79;633,23;669,04;912,83;1197,62;1117,85;990,79;1160,30;755,48;1105,15;1058,57;828,14;826,45;802,02;856,88;902,11;717,51;839,56;830,81;788,12;746,31;779,39;741,11;671,92;735,67;704,72;708,33;768,72;675,46;813,14;830,01;686,13;852,66;831,03;775,10;777,75;797,73;876,99;852,83;873,66;919,71;893,38;848,44;876,86;923,39;974,09;946,04;841,90;684,43;516,79;895,36;998,10;1060,20;1183,28;979,95;930,89;1210,68;988,02;1164,72;1018,75;939,97;1027,88;857,64;1007,87;894,78;1014,28;996,56;947,12;954,20;963,10;925,61;846,87;983,90;748,53
Philippines;8944,29;7649,68;9189,80;9555,49;8812,45;8831,18;9434,29;9405,47;9504,43;9805,81;9494,76;8421,04;8551,67;7524,29;8378,70;8078,91;8178,24;8479,49;8220,12;8168,12;8862,12;8803,73;8889,09;8117,76;8285,14;6831,33;8888,58;8852,73;9104,22;9273,13;8742,24;9333,89;9194,38;9748,02;9763,01;9686,95;9221,99;7954,87;10487,20;9283,60;10130,56;9904,71;10150,75;10441,35;10276,95;10800,02;11615,60;10777,79;10434,43;9444,58;10589,47;11218,15;11860,91;11353,39;11810,28;11604,48;11480,03;12259,70;11942,13;10636,57;11281,96;8584,69;11247,51;11023,39;11426,91;10893,99;11769,62;11176,51;11676,94;12484,23;11853,19;11259,11;10528,71;9462,27;9741,37;7165,09;11896,07;10488,83;12470,72;12887,46;13427,79;14340,02;13955,50;14377,38;14694,00;14828,08;16285,90;16560,03;6074,88;5632,22;6598,82;6249,43;6530,10;6552,38;7495,75;7056,26;7500,92;6875,87;6583,97;6762,63;6161,36;5459,71;7080,37;6478,58;6146,05;6583,24;6713,21;6387,32;6791,56;6334,49;6186,23;6385,45;5361,58;5329,13;6284,30;6058,34;6225,34;6421,62;6434,06;7001,96;6833,70;6763,69;6762,87;6992,63;6190,77;6323,05;7619,50;6713,09;7533,66;7392,41;7449,67;8104,64;7930,39;7869,94;8071,68;7812,10;7974,32;6899,14;8288,57;7543,99;8100,13;7999,88;8395,11;8319,43;8385,40;8552,42;8349,63;7287,11;7464,74;6658,74;8459,53;8018,92;8057,99;7780,64;8307,75;8007,53;7991,80;8238,39;7743,84;7690,77;6985,31;6307,73;7469,90;5242,82
Samoa;26,80;19,70;32,92;23,39;31,37;26,51;27,51;28,05;32,06;33,88;29,14;30,73;24,61;28,07;29,10;23,57;26,79;22,63;27,99;26,42;28,51;25,43;28,84;30,41;21,46;26,82;26,83;29,04;29,20;29,72;33,70;34,66;26,13;26,91;30,44;34,16;42,00;29,41;28,78;26,59;30,67;31,15;31,30;31,61;33,89;29,78;36,42;30,53;33,91;29,21;30,85;25,99;31,79;32,49;29,58;39,30;39,83;39,44;42,22;29,84;29,56;28,28;34,82;40,16;33,95;33,52;40,08;49,52;52,13;38,47;37,37;34,65;25,85;23,33;37,09;20,28;31,21;32,86;32,67;32,40;34,79;41,01;35,08;34,53;35,92;39,84;42,27;36,22;3,22;3,77;3,17;5,23;3,14;5,42;5,18;5,69;4,84;5,22;3,13;5,04;3,56;3,61;6,01;5,04;5,13;3,96;5,53;7,66;6,71;5,06;5,62;5,68;4,71;4,68;5,67;8,29;9,02;6,20;8,43;5,31;6,82;6,43;6,05;5,89;3,13;4,44;4,25;5,42;5,31;4,75;5,05;5,64;4,53;3,55;3,50;3,49;3,84;3,00;3,17;3,24;4,10;4,31;4,27;4,12;3,67;4,68;5,01;3,91;4,17;3,48;5,88;3,96;4,29;4,11;3,91;6,77;5,11;5,95;3,41;3,98;5,37;4,16;4,78;5,10
Solomon Islands;46,66;34,69;38,70;22,14;37,64;37,75;50,42;32,39;29,76;35,88;29,98;30,72;33,95;25,46;34,38;25,83;26,33;38,05;28,64;29,33;38,97;34,28;47,14;29,86;38,35;31,64;31,47;49,42;36,84;34,20;33,20;31,25;30,16;35,42;35,79;32,54;29,71;26,26;36,36;37,69;40,89;33,47;41,29;40,17;35,44;37,82;46,39;41,98;37,30;29,16;41,50;50,28;44,57;50,83;43,55;43,84;35,72;40,66;39,35;56,70;55,66;21,54;61,58;53,60;39,43;36,45;30,76;40,73;27,57;32,11;42,75;30,98;27,17;39,95;27,99;29,40;34,61;34,68;38,75;50,01;45,65;46,76;31,63;42,29;52,96;38,70;54,15;40,66;66,41;41,88;56,73;63,99;46,13;45,15;68,49;54,97;61,28;77,63;50,46;72,47;68,99;36,42;70,55;73,86;73,11;69,42;53,83;34,40;58,25;46,44;59,29;77,48;47,57;48,47;48,46;39,04;55,23;43,66;60,31;39,26;59,12;43,58;79,15;49,14;52,74;66,79;66,92;68,78;71,31;59,11;71,48;53,14;92,05;63,70;97,21;73,22;73,35;72,65;101,42;63,55;81,24;96,36;71,82;79,16;70,47;79,57;70,00;46,49;77,79;40,19;54,48;79,51;60,89;69,24;67,36;58,68;43,36;56,64;47,38;51,98;32,04;37,57;62,86;69,62
Sri Lanka;1660,77;1493,21;1901,46;1638,79;1977,63;1636,95;1828,34;2147,46;2092,72;1853,57;2051,07;2324,24;1910,16;1675,14;1828,40;1984,37;1679,69;1707,50;1542,83;1625,75;1736,08;1658,94;1890,72;1915,47;1601,44;1440,70;1537,14;1407,23;1547,07;1478,83;1474,96;1459,03;1292,86;1594,21;1552,65;1802,13;1595,89;1527,83;1836,97;1478,03;1565,20;1549,70;1544,52;1738,21;1755,44;1606,99;1932,77;1969,13;1771,61;1743,42;2180,65;1584,75;1876,65;1720,30;1710,27;1753,68;1821,26;1672,25;1677,09;1921,48;1654,41;1409,16;1606,22;1488,07;1611,19;1437,63;1605,20;1509,05;1656,81;1688,09;1643,14;1715,63;1517,54;1491,84;1554,91;730,67;1508,11;1490,87;1737,65;1645,73;1757,94;1680,53;1680,16;1521,84;1756,10;1729,68;1853,17;2251,02;892,17;787,57;963,54;918,66;831,43;830,47;951,19;900,53;943,59;936,44;872,92;888,74;914,26;883,25;1028,23;932,37;767,61;848,04;921,89;910,08;863,39;912,48;810,25;871,62;844,31;859,97;912,13;858,41;792,41;799,26;852,97;883,57;869,11;834,03;858,87;835,92;882,24;814,31;983,78;793,29;879,23;866,80;935,49;966,69;945,50;978,70;950,30;861,44;1007,27;859,32;953,52;969,48;826,36;1221,94;959,48;933,11;1013,97;1086,08;911,89;863,32;1040,44;903,11;1084,55;930,87;880,26;852,09;1102,40;916,61;992,50;1010,10;900,93;905,67;1055,59;897,55;947,11;528,98
